index,s1,r,s2,t1,t2,ct1,ct2
41,a share,for,63 million American Medical shares,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
42,Hilton Hotels,among,the worst-hit issues,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
43,McCaw,offering,125 a share,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
43,McCaw,for,22 million LIN shares,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
44,takeover issues,dropping,5,,,,
46,Rattner,of,Lazard,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
47,sales contracts,of,Freeport Uranium Recovery Co. unit,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
48,Resource Partners,owner of,technology,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
48,Resource Partners,receives,royalty payments,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
49,Alan Gaines,of,New York money-management firm Gaines Berland,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION /GPE/CITY /GPE,,
50,Steven Rattner,a,partner,/PERSON,,,
50,specialist,with,Lazard Freres & amp ; Co,,,,
51,setbacks,hit,cash crunch,,,,
52,Diane S. Killory,will join,Morrison & amp ; Foerster,/PERSON,,,
52,Diane S. Killory,as,partner,/PERSON,,,
52,partner,in,Washington,,/GPE/CITY /GPE,,
54,Killory,resigned as,Federal Communications Commission general counsel,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
55,woman,appointed,FCC general counsel,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
56,RICHARD P. MAGURNO,joined,New York law,/PERSON,/GPE/CITY /GPE,,
57,EC,filling,steel suppliers,,,,
58,EC steel industry,coping,strong European demand,,,,
58,EC steel industry,supplying,5,,,,
58,5,of,market,,/GPE/COUNTRY /GPE,,
59,Japan,been,shipping steel,/GPE/COUNTRY /GPE,,,
61,Japan,agreed,cut,/GPE/COUNTRY /GPE,,,
61,5,from,previously,,,,
62,state,has,records,,,,
62,records,relating to,architects,,,,
63,director,of,division,,,,
63,division,develops,the computer-matching programs,,,,
64,Schmedel,is,editor,/PERSON,,,
64,editor,of,The Wall Street Journal,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
65,market test,in,Denver,,/GPE/CITY /GPE,,
66,P & amp ; G,hook,consumers,,,,
67,amp,is,new Cheer,,/PRODUCT,,
68,Hugh Zurkuhlen,an,analyst,/PERSON,,,
68,analyst,at,Salomon Bros,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
70,accord,concerning,military bases,,/GPE/COUNTRY /GPE,,
71,extradition,a,Palestinian terrorist,,,,
72,Greek courts,decided,favor of extradition,,,,
72,extradition,in,Rashid case,,/PERSON,,
73,steelmakers,of,nation,,,,
74,negotiations,allocate,20,,,,
75,Other countries,do n't have,formal steel quotas,,,,
76,countries,made,informal agreements,,,,
77,Bus,stranding,commuters,,,,
79,traffic,over,Golden Gate,,/GPE,,
80,Charles Catania,on,bus,/PERSON,,,
81,spokeswoman,for,BankAmerica,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
82,Rubins,in,regular jobs,,,,
83,Direct Selling Association,a,trade group,/ORGANIZATION,,,
83,Direct Selling Association,include,Amway,/ORGANIZATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
83,members,cooperate with,IRS,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
84,project,began,1988,,,,
84,project,involves,350 IRS agents,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
85,Raymond P. Keenan,ended,June 30,/PERSON,,,
86,Jerry Lackey,qualify,employee benefits,/PERSON,,,
87,Retailers,in,Phoenix,,/GPE/CITY /GPE,,
88,A P & amp ; G spokeswoman,confirmed,shipments,,,,
88,shipments,to,Phoenix,,/GPE/CITY /GPE,,
89,company,introduced,superconcentrated Lemon Cheer,,,,
89,superconcentrated Lemon Cheer,in,Japan,,/GPE/COUNTRY /GPE,,
90,Attack,hit,the shelves,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
90,share,of,Japanese market,,,,
90,share,of,8,,,,
91,International Business Machines,hired,marketing professor,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
93,Vinson,got,law bug,/PERSON,,,
94,IBM,won,case,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
95,Enron,considering building,power plants,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
98,Quantum,completed,August,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
99,Petrolane,is,propane distributor,/ORGANIZATION /ORGANIZATION/CORPORATION,/SUBSTANCE,,
100,Propane,owned,Quantum,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
102,massive temblor,killed,at least 61 people,,,,
103,several weeks,to repair,repair,,,,
105,UAL,fell,a share,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
105,million shares,in,trading,,,,
107,UAL management,to pay,15 million,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
107,15 million,for,10,,,,
107,British,receive,15 % stake,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
109,UAL stock,fallen,33,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
110,Automatic Data,issue,common,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
111,Automatic Data,redeeming,bonds,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
112,Dow Jones & amp,extended,tender offer,,,,
112,tender offer,of,18 a share,,,,
114,Dow Jones,extended,offer,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
114,shareholders,to,supplement,,,,
116,Quantum,confronts,disaster,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
116,disaster,at,plant,,,,
116,plant,in,Ill,,/GPE/STATE_PROVINCE /GPE,,
117,prolonged production halt,at,plant,,,,
118,plant,running,out,,,,
119,Fulbright & amp ; Jaworski,of,Houston,,/GPE/CITY /GPE,,
119,amp,of,Calgary,,/GPE/CITY /GPE,,
120,Gibson Gayle,of,energy,/PERSON,,,
121,firms,together,regulatory issues,,,,
122,arrangement,reached,about eight months of negotiations,,,,
123,Shere,draw,cookbook,/PERSON,,,
123,cookbook,published by,Random House,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
126,Food manufacturer,changes,spelling,,,,
126,spelling,of,ketchup,,/SUBSTANCE /SUBSTANCE/FOOD /SUBSTANCE/CHEMICAL,,
127,polyethylene,more,commodity plastics,/SUBSTANCE /SUBSTANCE/CHEMICAL,/SUBSTANCE /SUBSTANCE/CHEMICAL,,
128,price,of,polyethylene,,/SUBSTANCE /SUBSTANCE/CHEMICAL,,
129,discrepancy,own,plants,,,,
129,plants,of,ethylene needs,,/SUBSTANCE,,
130,China,putting in,orders for polyethylene,/GPE/COUNTRY /GPE,/SUBSTANCE /SUBSTANCE/CHEMICAL,,
131,Slick graphics,for,effectiveness,,,,
131,effectiveness,play,Litigation Sciences,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
133,Stephen Gillers,a,legal ethics expert,/PERSON,,,
133,legal ethics expert,at,New York University law school,,/ORGANIZATION /GPE,,
134,Litigation Sciences,concedes,one in 20 cases,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
136,latest period,included,gain,,,,
136,gain,before,tax,,,,
137,1988 period,restated,net income,,,,
137,net income,of,8 million,,,,
138,Shearson,had,1989 second,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
138,net income,of,55,,,,
139,Shearson shares,lost,cents,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
140,Bank,decided,commercial bank financing,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
140,Boeing,by,Avianca,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
141,Mexico,exported,average,/GPE/COUNTRY /GPE,,,
142,orders,for,durable goods,,,,
143,Sally Kleinman,an,economist,/PERSON,,,
143,Sally,at,Manufacturers Hanover Securities,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
143,Manufacturers Hanover Securities,in,New York,/ORGANIZATION /ORGANIZATION/CORPORATION,/GPE/CITY /GPE,,
144,Orders,for,military goods,,,,
144,Orders,catapult in,September,,,,
145,numbers,in,durable goods report,,,,
146,chief executive officer,of,pipeline,,,,
148,TransCanada,transports,all gas,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
148,gas,from,Alberta,,/GPE,,
149,vice president,of,Gas,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
150,George Koskotas,owner of,Bank of Crete,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
151,Papandreou,received,questions,/PERSON,,,
151,23 million,of,Bank of,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
152,Two former ministers,implicated in,Koskotas affair,,/PERSON,,
153,Carpenter,a,regional correspondent,/PERSON,,,
153,Carpenter,for,National Review,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
154,federal appeals court,in,San Francisco,,/GPE/CITY /GPE,,
155,suit,filed,shareholders,,,,
155,shareholders,of,Apple Computer,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
156,Boston Edison,take,60 million charge,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
156,60 million charge,against,earnings,,,,
156,earnings,in,fourth quarter,,,,
157,charge,resulted from,settlement,,,,
158,settlement,limits,rate increases,,,,
158,rate increases,for,three years,,,,
159,Pilgrim,closed,for 32 months,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
160,pastry,of,pastry chef,,,,
161,jury,in,1986,,,,
162,jury,awarded,USFL,,/ORGANIZATION /GPE,,
163,Court of Appeals,in,New York,/GPE/COUNTRY /ORGANIZATION,/GPE/CITY /GPE,,
164,Harvey D. Myerson,of,Myerson & amp ; Kuhn,/PERSON,/PERSON,,
164,Harvey D. Myerson,then,lawyer,/PERSON,,,
165,Douglas R. Pappas,of,Myerson & amp ; Kuhn,/PERSON,,,
165,million,goes directly to,USFL,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
