index,s1,r,s2
"24","client-service executives","including","Mr. Phillips"
"24","client-service executives","little time","see clients"
"25","Mr. Phillips","delegating","administrative work"
"25","administrative work","to","deputy"
"26","Mr. Roman","closer to","Lever Brothers"
"26","Mr. Roman","closer to","American Express"
"26","Mr. Roman","closer to","Seagram"
"27","Mr. Phillips","complained to","staffers"
"28","several clients","including","American Express"
"28","several clients","including","American Telephone"
"28","several clients","including","Telegraph and Ryder"
"29","Paul Craig Roberts","a","supply-sider"
"29","supply-sider","with","monetarist sympathies"
"30","fiscal shock","of","tax cuts"
"31","Mr. Volcker","was","tight"
"31","Mr. Volcker","dollar rise","dollar rise"
"32","Mrs. Thatcher","'s","reluctance"
"32","reluctance","tie","currency"
"32","currency","governed by","West Germany"
"32","domestic political imperatives","of","West Germany"
"33","Alan Reynolds","of","Polyconomics"
"34","British banks","no","reserve requirements"
"35","Mrs. Thatcher","'s","problem"
"35","problem","decide between","Chancellor"
"35","problem","decide between","her adviser"
"36","Mr. Lawson","to","resign"
"37","British government bonds","ended","little changed"
"37","investors","awaited","economic policy address"
"37","economic policy address","by","Nigel Lawson"
"37","Nigel Lawson","","Chancellor of the Exchequer"
"38","Treasury 11 % bond","due","2003\/2007"
"38","Treasury 11 % bond","down","2\/32"
"38","Treasury 11 % bond","at","111"
"38","Treasury 11 % bond","to yield","10.09 %"
"38","11 % notes","due","1991"
"38","11 % notes","were","unchanged"
"38","11 % notes","at","98"
"38","11 % notes","to yield","12.94 %"
"39","bellwether No . 111 4.6 % bond","of","1998"
"39","bellwether No . 111 4.6 % bond","ended","off 0.03"
"39","bellwether No . 111 4.6 % bond","at","95.72"
"39","bellwether No . 111 4.6 % bond","to yield","5.32 %"
"39","bellwether No . 111 4.6 % bond","In","Japan"
"39","7 % benchmark issue","in","West Germany"
"39","7 % benchmark issue","due","October 1999"
"39","7 % benchmark issue","ended","0.05 point lower"
"39","7 % benchmark issue","at","99.85"
"39","7 % benchmark issue","to yield","7.02 %"
"40","SHEVARDNADZE","ADMITTED","Moscow"
"40","Moscow","violated","1972 ABM treaty"
"41","foreign-policy address","before","Soviet legislature"
"41","foreign minister","conceded","radar station"
"41","radar station","in","Krasnoyarsk"
"41","radar station","breached","superpower Anti-Ballistic Missile treaty"
"41","radar station","would be","dismantled"
"42","Gorbachev","'s","government"
"42","government","took","four years"
"42","government","determine","station 's location"
"42","station 's location","in","Siberia"
"42","station 's location","violated","accord"
"43","He","denounced","war in Afghanistan"
"43","war in Afghanistan",",","nine-year"
"43","Moscow","'s","war in Afghanistan"
"43","war in Afghanistan","involved","gross violations"
"43","gross violations","of","civil norms"
"43","gross violations","of","ethics"
"44","Baker",",","Secretary of State"
"44","Baker","in","speech"
"44","speech",",","arms-control"
"44","speech",",","first major"
"44","Baker","called for","new military relationship"
"44","new military relationship","with","Moscow"
"44","new military relationship","to reduce","nuclear arms"
"45","BAY AREA COMMUTERS","BATTLED","transportation snarls"
"45","transportation snarls","","earthquake-related"
"46","Travelers","crowded into","subways"
"46","traffic jams","on","major freeways"
"46","Travelers","waited","buses"
"46","Travelers","waited","in the rain"
"46","officials","anticipated","massive gridlock"
"46","officials","in","San Francisco Bay"
"46","massive gridlock",",","never materialized"
"47","growth","of","reseller market"
"47","Archive","attributed","gains"
"47","gains","to","acquisition"
"47","gains","to","reseller market"
"47","acquisition","of","Maynard Electronics"
"47","gains","accounted for","revenue"
"47","14 %","of","revenue"
"48","UNITED AIR","'S","PARENT"
"49","Stephen Wolf",",","UAL Chairman"
"50","Dow Jones industrials","sank","26.23 points"
"50","26.23 points","to","2662.91"
"51","Time Warner","reported","loss"
"51","loss","a","$ 176 million"
"51","loss","reflecting","merger"
"51","loss","for","third quarter"
"51","cost","of","merger"
"51","loss","reflecting","method"
"51","method","of","accounting"
"52","Exxon","'s","profit"
"52","profit","fell","9 %"
"53","Phillips","posted","declines"
"53","Arco","posted","declines"
"54","Ashland","had","loss"
"55","Bush","at","private meeting"
"55","interpretation","of","policy"
"55","interpretation","requires","U.S"
"55","U.S","notify","foreign dictators"
"55","foreign dictators","of","coup plots"
"56","Lebanon","'s","Gen. Aoun"
"56","Lebanon","'s","Shiite militias"
"56","Shiite militias","rejected","peace accord"
"57","alliance","'s","nuclear planning group"
"57","nuclear planning group","convenes","two-day session today"
"57","nuclear planning group","in","Portugal"
"58","NATO 's","defenses in","Western Europe"
"59","Iran","'s","President Rafsanjani"
"59","cases","of","three Iranians"
"59","three Iranians","kidnapped in","Lebanon"
"59","cases","of","frozen Iranian assets"
"60","Washington","rejected","bid"
"61","PLO leader Arafat","asked","Egypt"
"61","Egypt","seek","clarifications"
"61","clarifications","from","U.S"
"61","U.S","on","plan"
"61","Baker","'s","plan"
"61","plan","for","Mideast peace talks"
"62","Vail",",","Colo"
"62","Vail","has","playland"
"62","playland","looks like","old mining town"
"62","kids","can","ski"
"62","kids","pan for","fool 's gold"
"63","Michael Shannon",",","president"
"63","president","of","Vail Associates Inc"
"63","Vail Associates Inc","owns and operates","Vail"
"63","Vail Associates Inc","owns and operates","Beaver Creek resorts"
"64","visitors","can take","hot-air balloon ride"
"64","hot-air balloon ride","in","Maine"
"64","Winter Carnival week","can take","hot-air balloon ride"
"65","Don Borgeson",",","executive director"
"65","executive director","of","Angel Fire , N.M"
"65","Angel Fire , N.M","'s","Chamber of Commerce"
"66","American Express Co","survey of","travel agents"
"67","I. William Berry",",","editor"
"67","I. William Berry",",","publisher"
"67","editor","of","Ski Industry Letter"
"67","publisher","of","Ski Industry Letter"
"67","Ski Industry Letter","in","Katonah"
"67","Katonah",",","N.Y"
"68","Prudential-Bache Securities Inc","postponed","subordinated debenture"
"68","subordinated debenture","offering","York International Corp"
"68","subordinated debenture","offering","$ 220 million"
"69","Drexel Burnham Lambert Inc","slash","junk-bond"
"69","Continental Airlines","'","junk-bond"
"69","junk-bond","to","$ 71 million"
"70","P & amp ; G","acquired","Oil of Olay"
"70","Oil of Olay","part of","Richardson-Vicks International"
"70","Richardson-Vicks International","acquired","1985"
"71","David Williams","a","consultant"
"71","consultant","with","New England Consulting Group"
"72","P & amp ; G","reposition","brand"
"72","brand","broadening","product line"
"72","product line","include","facial cleansers"
"72","product line","include","moisturizers"
"72","moisturizers","for","sensitive skin"
"73","It","redesigned","packaging"
"73","Oil of Olay","'s","packaging"
"73","packaging","stamping","traditional pink boxes"
"73","traditional pink boxes","with","gold lines"
"73","gold lines","to create","opulent look"
"74","P & amp ; G","shifted","ad campaign"
"74","ad campaign","targeting","older women"
"74","ad campaign","featuring","woman"
"74","woman","in","mid-30s"
"74","woman","vowing","not to grow old gracefully"
"75","Unilever","have","financial advantages"
"75","P & amp ; G","have","financial advantages"
"75","financial advantages","","enormous"
"75","financial advantages","over","smaller rivals"
"76","Noxell","roll out","perfume"
"76","perfume","called","Navy"
"76","George L. Bunting Jr",",","chairman"
"76","chairman","of","Noxell"
"77","Noxell","able to","spend"
"77","spend","estimated","$ 5 million"
"77","$ 5 million","to","$ 7 million"
"78","Unilever","interested","acquiring"
"78","acquiring","","Maybelline unit"
"78","Schering-Plough Corp","'s","Maybelline unit"
"79","Subcommittee on Terrorism and Narcotics of the Foreign Relations Committee","on","Feb. 8"
"79","Subcommittee on Terrorism and Narcotics of the Foreign Relations Committee","on","10"
"79","Subcommittee on Terrorism and Narcotics of the Foreign Relations Committee","on","11"
"79","Subcommittee on Terrorism and Narcotics of the Foreign Relations Committee","again on","April 4 , 1988"
"79","hearings","in","Subcommittee on Terrorism and Narcotics of the Foreign Relations Committee"
"80","hearings","learned","Gen. Noriega"
"80","Gen. Noriega","'s","criminality"
"80","Gen. Noriega","relationships with","U.S. government agencies"
"80","variety","of","U.S. government agencies"
"81","Gen. Noriega","use","relationships"
"81","relationships","with","agencies"
"81","agencies","delay","U.S. action"
"81","U.S. action","against","Gen. Noriega"
"82","former Ambassador","to","Costa Rica"
"82","Francis J. McNeil","As","former Ambassador"
"82","Francis J. McNeil","testified","subcommittee"
"82","Reagan administration","knew","Gen. Noriega"
"82","Gen. Noriega","involved","narcotics"
"83","report","issued by","subcommittee"
"83","subcommittee","concluded","nothing"
"83","nothing","regarding","Gen. Noriega"
"83","Gen. Noriega","'s","drug business"
"83","Gen. Noriega","'s","criminal involvement"
"83","subcommittee","concluded","Contra war"
"83","first priority","was","Contra war"
"84","Gen. Noriega","'s","indictment"
"85","Sen. John Kerry","(","D. , Mass"
"86","NEC","spending","$ 275 million"
"86","NEC","build","another plant"
"86","four-megabit DRAMs","a","year"
"87","Hajime Sasaki","an","vice president"
"87","vice president",",","NEC"
"88","Toyota","'s","Lexus automobile"
"88","Lexus automobile","a","luxury model"
"88","Lexus automobile","started","shipping"
"88","shipping","to","U.S"
"89","Amdahl Corp","maker of","mainframe computers"
"89","Amdahl Corp","reported","net income"
"89","net income","in","decline"
"90","Jay Stevens","an","analyst"
"90","analyst","with","Dean Witter Reynolds"
"90","Sunnyvale",",","Calif"
"90","International Business Machines Corp","competition","Amdahl"
"90","Amdahl","competitor","mainframe sales"
"91","Adolph Coors Co",",","chairman"
"91","William K. Coors",",","chairman"
"91","William K. Coors","assumed","president"
"91","additional responsibilities","of","president"
"91","William K. Coors","succeeding","Jeffrey H. Coors"
"92","Jeffrey Coors",",","44 years old"
"92","Jeffrey Coors","been","president"
"92","Jeffrey Coors","succeeded","Joseph"
"92","Joseph","his","father"
"93","restructuring plan","calls for","merger"
"93","merger","of","Qintex Australia"
"93","Qintex Australia","with","Qintex Ltd"
"93","Qintex Ltd","owns","55 %"
"93","55 %","of","Qintex Australia"
"94","Qintex Australia","'s","bank creditors"
"94","bank creditors","concerned","barrage"
"94","barrage","of","bad news"
"94","bad news","at","Qintex Australia"
"94","bad news","including","failed US $ 1.5 billion plan"
"94","failed US $ 1.5 billion plan","buy","MGM\/UA Communications Co"
"94","MGM\/UA Communications Co",",","Beverly Hills"
"94","Beverly Hills",",","Calif"
"94","MGM\/UA Communications Co",",","television production concern"
"95","Qintex Entertainment Inc",",","U.S. affiliate"
"95","U.S. affiliate",",","43 % - owned"
"95","Qintex Entertainment Inc","filed for","protection"
"95","protection","from","creditor lawsuits"
"95","Chapter 11","of","U.S. Bankruptcy Code"
"96","Analysts","predicted","the move"
"96","the move","shake","creditor confidence"
"96","creditor confidence","in","Qintex Australia"
"97","company","'s","latest moves"
"97","latest moves","were","disclosed"
"97","Australian Stock Exchange","suspended","trading"
"97","trading","in","shares"
"97","shares","of","Qintex Australia"
"97","shares","of","Qintex Ltd"
"97","companies","had n't answered","exchange inquiry"
"97","exchange inquiry","about","extent of their loans"
"97","exchange inquiry","about","investments"
"97","exchange inquiry","about","deposits"
"98","Mr. Skase","'s","statement"
"98","statement","addressed","stock exchange"
"98","statement","response","to the inquiry"
"99","Qintex Entertainment","owes","Qintex Australia"
"99","Qintex Entertainment","owes","US $ 38.1 million"
"99","US $ 38.1 million","in","loans"
"99","loans","not secured","by specific assets"
"100","Qintex Australia","has","investment"
"100","investment","of","A $ 83.3 million"
"100","A $ 83.3 million","in","Qintex Entertainment shares"
"101","current interest rates","in","Australia"
"101","asset sales","reduce","interest expense"
"101","company","'s","asset sales"
"101","interest expense","by about","A $ 120 million"
"101","A $ 120 million","a","year"
"101","asset sales","eliminating","certain liabilities"
"102","Qintex","In","March"
"102","Qintex","sold","49 %"
"102","49 %","of","three Mirage resorts"
"102","three Mirage resorts","to","Nippon Shinpan Co"
"102","three Mirage resorts","to","Mitsui & amp ; Co"
"102","Japan","'s","Nippon Shinpan Co"
"102","three Mirage resorts","for","A $ 433 million"
"103","airlines","talking","about cargo ventures"
"103","airlines","rumors","a tie"
"103","a tie","between","JAL"
"103","a tie","between","European airlines"
"104","JAL spokesman","In","Tokyo"
"105","JAL","talking","Lufthansa"
"105","JAL","talking","Air France"
"106","Lufthansa spokesman","In","Frankfurt"
"106","Lufthansa spokesman","confirmed","talks"
"106","talks","are","under way"
"106","Lufthansa spokesman","declined","comment"
"107","Lufthansa spokeswoman","in","Tokyo"
"108","Air France","In","Paris"
"108","Air France","declined","comment"
"109","figures","from","International Air Transport Association"
"109","they","carried","combined 1.8 million tons"
"109","combined 1.8 million tons","of","freight last year"
"110","Federal Express and Flying Tiger , as separate companies ,","carried","combined 2.6 million tons"
"111","Playtex Apparel Inc","split","intimate apparel division"
"111","Playtex Apparel Inc","split","Playtex Family Products Corp"
"111","Playtex Family Products Corp","makes","tampons"
"111","Playtex Family Products Corp","makes","hair-care items"
"112","VF Corp","owns","Vanity Fair"
"112","VF Corp","owns","Sara Lee Corp"
"112","Sara Lee Corp","owns","Bali Co"
"112","Bali Co","in","intimate apparel"
"113","David C. Masket",",","Executive Vice President"
"114","Deborah Bronston",",","apparel analyst"
"114","apparel analyst",",","Prudential-Bache Securities Inc"
"115","Mrs. Coleman","her daughter","Elizabeth"
"115","Elizabeth","an","attorney"
"115","Elizabeth","is","vice chairman"
"115","family members","are","Mr. Brawer"
"115","family members","are","Mrs. Coleman"
"115","family members","involved","operations"
"115","operations","of","Maidenform"
"115","Maidenform","employs","5,000"
"116","Mr. Brawer","'s","wife"
"116","Elizabeth","'s","husband"
"116","husband",",","Robert Stroup"
"117","William Rosenthal","designed","bra"
"117","company 's","first","bra"
"117","William Rosenthal","designed","1920s"
"118","Tolstoy","'s","characters"
"118","characters","eat","Pushkin 's , Gogol 's"
"119","Pushkin","on","blini"
"119","Goncharov","on","piroghi"
"120","second child","was","born"
"120","Vladimir","a","computer scientist"
"120","Ms. Volokh","and","her husband"
"120","her husband",",","Vladimir"
"121","Ms. Volokh","quit","job"
"121","Ms. Volokh","remove herself","public eye"
"122","government","required","permission"
"122","permission","from","her first husband"
"122","mother","obtain","permission"
"122","Ms. Volokh","'s","mother"
"122","her first husband","had divorced","38 years"
"123","Mr. Volokh","fired from","job"
"123","Mr. Volokh","endure","organized verbal abuse"
"123","Mr. Volokh","accusations of","sabotage"
"123","Mr. Volokh","accusations of","counterrevolutionary activities"
"124","friend","applied for","visa"
"124","friend","waited for","10 years"
"124","friend","of","Volokhs"
"124","friend","demoted from","theoretical mathematician"
"124","theoretical mathematician","to","shipping clerk"
"125","they","moved to","Los Angeles"
"126","Mr. Volokh","found","work"
"126","work","in","his field"
"127","U.S. paycheck","for","proofreading"
"127","proofreading","book of","Polish poetry"
"127","she","attended","secretarial school"
"127","she","received","U.S. paycheck"
"127","she","work for","fund-raising organization"
"128","Charles Lieberman",",","chief economist"
"128","chief economist","at","Manufacturers Hanover Securities Corp "
"129","report","issued","yesterday"
"129","report","by","Standard & amp ; Poor 's Corp"
"130","Continental junk bond offering","underwritten","Drexel Burnham Lambert Inc"
"130","Continental junk bond offering","priced","yesterday"
"131","Chemical Securities Inc","acting","agent for the seller"
"132","Washington",",","D.C"
"132","Washington","topped","competitive slate"
"132","competitive slate","sale","$ 200 million"
"132","$ 200 million","of","general obligation tax revenue anticipation notes"
"133","five partners","resigned","Shea & amp ; Gould"
"133","five partners","are","Tom Hutton"
"133","five partners","are","Sam Ingram"
"133","five partners","are","Dean Yuzek"
"133","five partners","are","Daniel Carroll"
"133","five partners","are","Ernest Bertolotti"
"134","Larry Gainen","resigned from","LePatner , Gainen & amp ; Block"
"135","Howard Rubenstein",",","New York publicist"
"135","Howard Rubenstein","represents","Shea & amp ; Gould"
"136","the five","were n't","management committee"
"136","management committee",",","Shea & amp ; Gould"
"137","Shea & amp ; Gould","discussions","five partners"
"138","Hutton Ingram","will have","general corporate"
"138","Hutton Ingram","will have","securities"
"138","Hutton Ingram","will have","real-estate"
"138","Hutton Ingram","will have","practice serving the professional-design community"
"139","DISCIPLINARY PROCEEDINGS against lawyers","open","public"
"139","public","in","Illinois"
"140","Illinois attorneys","lose","the right"
"140","the right","to","sue clients"
"140","sue clients","file","malicious complaints"
"141","Illinois","joins","36 other states"
"141","36 other states","allow","public participation"
"141","public participation","in","attorney-disciplinary proceedings"
"141","Illinois","joins","32 states"
"141","32 states","open","disciplinary hearings"
"141","disciplinary hearings","open","public"
"142","Warren Lupel",",","Chicago lawyer"
"143","Russian Samovar","a","New York restaurant"
"143","Russian Samovar","operated by","Soviet emigres"
"143","Russian Samovar","for","Soviet emigres"
"144","publisher","of","magazine"
"145","high Russian tea","at","5 p.m"
"146","frequently","invites","directors"
"146","frequently","invites","producers"
"146","frequently","invites","actors"
"146","frequently","invites","writers"
"146","frequently","invites","show business people"
"146","frequently","invites","coffee and clips"
"147","Douglas Teich","of","Public Citizen Health Research Group"
"147","Public Citizen Health Research Group","a","Ralph Nader affiliate"
"148","Searle","is","company"
"148","Searle","make","consumer information available"
"149","Searle Chairman",",","Sheldon Gilgore"
"150","investors","buy","Treasury securities"
"150","aftermath","of","California earthquake"
"151","Brian J. Fabbri",",","chief economist"
"151","chief economist","at","Midland Montagu Securities Inc"
"152","Treasury","'s","30-year bond"
"152","30-year bond","jumped","3\/8 point"
"152","30-year bond","jumped","first hour"
"152","first hour","of","trading"
"153","RJR Holdings Capital Corp","'s","bonds"
"153","bonds","fell","one point"
"154","RJR issues","fell","1\/2 point"
"154","1\/2 point","and","1 point"
"155","Continental Airlines","scale back","offering"
"156","Telelawyer","dialing","dialing"
"156","receptionist","refers","call"
"156","call","to","one of six attorneys"
"157","Cane lawyers","review","documents"
"157","Cane lawyers","perform","research"
"157","support staffers","help","Cane lawyers"
"158","the matter","requires","further legal work"
"158","further legal work","refer","law firm"
"159","Cane & amp ; Associates","does n't receive","referral fees"
"160","calls","involved","landlord-tenant problems"
"160","calls","involved","tax problems"
"160","calls","involved","divorce"
"160","calls","involved","probate questions"
"161","Robert Garcia","(","D"
"161","D",",","N.Y"
"161","Robert Garcia",",","U.S. Rep"
"161","Robert Garcia",",","wife"
"161","wife",",","Jane Lee Garcia"
"161","Robert Garcia",",","guilty"
"161","Jane Lee Garcia",",","guilty"
"161","guilty","extorting","$ 76,000"
"161","$ 76,000","from","Wedtech"
"162","jury","convicted","extortion"
"162","extortion","obtaining","interest-free loan"
"162","interest-free loan",",","$ 20,000"
"162","interest-free loan","from","Wedtech officer"
"163","jury","found them guilty","conspiracy"
"163","conspiracy","obtaining","payments"
"163","payments","disguised","fees"
"163","fees","for","consulting services"
"164","Wedtech",",","defense contractor"
"164","defense contractor",",","minority-owned"
"164","defense contractor",",","South Bronx"
"164","South Bronx",",","N.Y"
"165","Japan","'s","Daiwa Securities"
"165","Daiwa Securities","named","Masahiro Dozen"
"165","Masahiro Dozen","named","president"
"166","Anne Volokh","and","family"
"166","Anne Volokh","immigrated","U.S"
"166","family","immigrated","U.S"
"167","computer prodigy","profiled in","Wall Street Journal in"
"167","computer prodigy","run","software company"
"168","publisher","of","Movieline"
"168","magazine","began","national distribution"
"168","national distribution","began","last month"
"168","magazine","run of","100,000 copies"
"169","Hearst Corp","'s","Eastern News"
"169","Distributed","by","Eastern News"
"170","Bob Katsive",",","analyst"
"170","analyst","at","Disk\/Trend Inc"
"170","Disk\/Trend Inc",",","market researcher"
"170","market researcher","in","Los Altos"
"170","Los Altos",",","Calif"
"171","Seagate Technology","supplier","hard-disk drives"
"171","hard-disk drives","for","personal computers"
"171","Seagate Technology","plans to introduce","family of low-power drives"
"171","family of low-power drives","for","battery-operated computers"
"172","David Claridge","an","analyst"
"172","analyst","with","Hambrecht & amp ; Quist"
"173","Toshiba","produce","hard-disk drives"
"173","Sony","studying","the field"
"174","Finis Conner",",","chief executive officer"
"174","Finis Conner",",","founder"
"174","founder","of","the firm that bears his name"
"174","chief executive officer","of","the firm that bears his name"
"175","new products","account for","35 %"
"175","35 %","of","company 's business"
"175","company 's business","in","1990"
"176","Conner","shipping","new drives"
"177","Compaq","introduced","notebook computer"
"177","notebook computer","to","rave reviews"
"178","General Electric Co","received","Air Force contract"
"178","Air Force contract","for","$ 30.6 million"
"178","Air Force contract","for","MX-missile nose cones"
"179","Army contract","for","armored-vehicle parts"
"180","Analytic Sciences Corp","awarded","Air Force contract"
"180","Air Force contract","for","$ 10.1 million"
"180","Air Force contract","for","technical support"
"181","France","'s","Rafale jet fighter"
"181","French navy","stated","its desire"
"181","its desire","to buy 15","F-18 Hornets"
"181","F-18 Hornets","","McDonnell Douglas Corp"
"181","F-18 Hornets","defend","aircraft carriers"
"182","Rafale","made by","Avions Marcel Dassault-Breguet Aviation SA"
"183","Cols Bleus",",","weekly magazine"
"183","Adm. Yves Goupil",",","navy 's second-in-command"
"183","navy","intends to buy","86 Rafales"
"183","86 Rafales","scheduled","late 1990s"
"183","86 Rafales","scheduled","early 21st century"
"184","naval Rafale","becomes available","1998"
"184","naval Rafale","to replace","Crusaders"
"184","Crusaders",",","American-made"
"184","Crusaders","used","since the 1950s"
"184","Crusaders","used","protect carriers"
"184","protect carriers","from","attack"
"185","renovate the Crusaders","for","1.8 billion French francs ( $ 286.6 million )"
"185","navy","buy","used F-18s"
"185","used F-18s","from","U.S. Navy"
"186","navy","prepared to take","Rafales"
"187","government","retain","stake"
"187","stake","in","Picop"
"188","Mr. Garcia","notified of","congressional hearings"
"188","congressional hearings","on","Picop bidding"
"188","congressional hearings","prompted by","criticism"
"188","criticism","of","agency"
"189","trans-Pacific","remains","debt-laden"
"189","Asian routes","remains","debt-laden"
"190","government","commitment to","privatization"
"191","Mexican government","privatized","Mexicana de Aviacion"
"192","state enterprises","remain in","public sector"
"192","392","down from","1,155 public entities"
"193","Prospect Street High Income Portfolio","holds","15 % in cash and equivalents"
"193","15 % in cash and equivalents",",","quintuple the amount it held earlier this year"
"193","John Frabotta",",","portfolio co-manager"
"194","Zenith Income Fund",",","50 % - leveraged"
"194","John Bianchi",",","portfolio manager"
"194","John Bianchi","dumped","Mesa Petroleum"
"194","John Bianchi","dumped","Wickes and Horsehead Industries"
"194","John Bianchi","raise","cash position"
"194","cash position","to","15 %"
"195","Robert Moore",",","president"
"195","president","of","Bernstein-Macaulay Inc"
"195","Bernstein-Macaulay Inc","a","Shearson Lehman Hutton Inc. unit"
"195","Bernstein-Macaulay Inc",",","the fund 's adviser"
"196","volcano","erupt","next month"
"196","volcano","on","Strip"
"196","Strip",":","60-foot mountain"
"196","60-foot mountain","spewing","smoke"
"196","60-foot mountain","spewing","flame"
"196","smoke","every","five minutes"
"196","flame","every","five minutes"
"197","Visitors","on","moving walkway"
"197","Visitors","glide","habitat"
"197","habitat","for","white tigers"
"197","white tigers","star in","performances"
"197","performances","by","famed illusionist team"
"197","famed illusionist team","of","Siegfried & amp ; Roy"
"198","six dolphins","frolic","1.5 million-gallon saltwater aquarium"
"199","lobby",",","orchid-strewn atrium"
"199","orchid-strewn atrium",",","nine-story"
"199","20,000-gallon aquarium","behind","orchid-strewn atrium"
"199","20,000-gallon aquarium","come alive with","sharks"
"199","20,000-gallon aquarium","come alive with","stingrays"
"199","20,000-gallon aquarium","come alive with","angelfish"
"199","20,000-gallon aquarium","come alive with","puffers"
"199","20,000-gallon aquarium","come alive with","other creatures"
"199","other creatures","of","the deep"
"200","Mr. Terrizzi","confirms","clients have left"
"200","clients have left","but","no major ones"
"200","Renaissance","added","new accounts"
"200","clients have left",",","Renaissance"
"201","Tracking Travel '' column","``","Sept. 25"
"201","Tracking Travel '' column","advises","Charge With Caution When Traveling Abroad"
"201","credit-card companies","charge","1 %"
"201","1 %","to convert","foreign-currency expenditures"
"201","foreign-currency expenditures","into","dollars"
"202","Visa","charged","1 % conversion fee"
"202","foreign-currency","charge","7 % or more"
"202","1 % conversion fee","to convert","U.S. dollars into foreign currency"
"202","7 % or more","to convert","U.S. dollars into foreign currency"
"203","Assets","of","400 taxable funds"
"203","400 taxable funds","tracked","IBC\/Donoghue 's Money Fund Report"
"203","400 taxable funds","jumped","to $ 351.2 billion"
"203","to $ 351.2 billion","in","week ended Tuesday"
"203","Holliston",",","Mass.-based"
