index,s1,r,s2
"20","list","dominated by","pickup trucks"
"20","Ford F-Series","sold","896,764"
"20","Ram","sold","489,418"
"20","Full-size pickups","been","best selling vehicles"
"21","Kia","sheets off","Niro EV"
"21","Niro EV","at","CES"
"21","Kia","claims","Niro EV"
"21","Niro EV","capable","238-mile range"
"21","capable","on","single charge"
"21","Niro EV","provided by","64 kWh battery pack"
"21","64 kWh battery pack","powers","150 kW electric motor"
"21","150 kW electric motor","for","201 hp"
"22","Ford","launch","Bullitt Edition"
"22","Bullitt Edition","of","Mustang"
"22","Barrett Jackson","’","Scottsdale auction"
"22","Bullitt Edition","revealed","Scottsdale auction"
"22","Steve McQueen","star","Bullitt"
"22","Steve McQueen","drove","Mustang 390 GT"
"23","guy","selling","McLaren 720S"
"23","McLaren 720S","in","Bitcoin"
"23","Bitcoin","worth","14,600"
"23","Chiron","purchased","using Bitcoin"
"23","Huayra","purchased","using Bitcoin"
"23","Huayra","is","Americano"
"23","Americano","with","Tempesta Package"
"23","Chiron","features","all-black exterior"
"23","Chiron","features","grey/black interior"
"24","Toyota","announced","joint partnership"
"24","Mazda","announced","joint partnership"
"24","joint partnership","new","production plant"
"24","production plant","put","4,000 people"
"24","4,000 people","to","work"
"24","production plant","have","300,000 annual production capacity"
"24","Alabama","won","production plant"
"25","Kia","unveil","Forte"
"25","Forte","at","Detroit Auto Show"
"25","Kia","released","images"
"25","images","of","Forte"
"25","Forte","evolved","cab-forward design"
"25","Forte","evolved","rear bumper"
"25","rear bumper","receives","turn signal indicators"
"26","Mazda3","debut","2018 Los Angeles Auto Show"
"26","Mazda","'s new","SkyActiv-X compression"
"26","Mazda3","reveal in","LA"
"26","Mazda3","pictured here is the","hatchback"
"26","Mazda3","battle with","Volkswagen Golf"
"26","Mazda3","battle with","Toyota Corolla"
"27","Ferrari F40","iconic","supercars"
"27","Ferrari","’ s 40th anniversary","1987"
"27","F40","fastest street-legal production car","1987"
"27","F40","overseen by","Enzo Ferrari"
"27","Pininfarina design","most iconic","Ferrari"
"27","Samir Sadikhov","designed a modern-day","F40"
"28","Mercedes","first to combine","hydrogen fuel cells and plug-in hybrids"
"28","GLC F-Cell","running on","zero emissions"
"28","GLC F-Cell","going to","corporate fleets"
"28","GLC F-Cell","going to","government agencies"
"28","GLC F-Cell","available only in","Germany"
"29","Tesla","launched","Model X"
"29","Tesla","launched","Model 3"
"29","Tesla","revealed the next","Roadster"
"29","Tesla","replaced","Elon Musk"
"29","Model S","losing","sunroof"
"29","Model X","to transport","seven occupants"
"30","Acura NSX","offers","hypercar technology"
"30","Acura NSX","cheaper than","other supercars"
"30","Honda ’ s new manufacturing center","in","Ohio"
"30","managing editor at Kelly Blue Book Matt DeLorenzo","to","Biz Journal"
"30","Acura NSX","will surpass","Dodge Viper"
"30","Dodge Viper","is built at","FCA ’ s Conner Avenue Assembly plan"
"30","FCA ’ s Conner Avenue Assembly plan","in","Detroit , MI"
"30","Ford","’ s","GT"
"30","GT","will be built by","Multimatic Inc"
"30","Multimatic Inc","is","Ford supplier in Canada"
"31","Lamborghini Huracan","has been out since","2014"
"31","Superleggera version","of","Lamborghini Huracan"
"31","Superleggera version","testing on","Nurburgring"
"32","Audi","unveiled","Connected Mobility Concept"
"32","Connected Mobility Concept","based on","Q3 crossover"
"32","Connected Mobility Concept","features","electric longboard"
"33","W ö rthersee GTI Meet","in","Austria"
"33","Volkswagen","reveals","concept versions of the GTI"
"33","GTI Clubsport","built as","40th anniversary model"
"33","40th anniversary model","for","GTI"
"33","Volkswagen","upped the ante with","GTI Clubsport S"
"33","GTI Clubsport S","powered by","2.0-liter turbocharged four-cylinder"
"33","2.0-liter turbocharged four-cylinder","making","305 horsepower"
"33","GTI Clubsport S","doing high speed testing at","N ü rburgring"
"33","GTI Clubsport S","pricier than","Clubsport"
"33","GTI Clubsport S","pricier than","Golf R"
"34","B16","found in","Civics"
"34","first VTEC motor","in","1989"
"34","Honda","’ s","1.6-liter engine"
"35","top BMW executives","have made their way to","China"
"35","BMW","will join","Mercedes"
"35","BMW sales chief Dr. Ian Robertson","spoke to","auto show attendees"
"35","BMW","too chicken to build","M7"
"35","BMW","’ s","X lineup"
"35","X lineup","will see","M cars"
"35","M","with","FWD"
"35","M","with","front-biased AWD"
"36","Porsche Carrera GT","grandfather to","Porsche 918 Spyder"
"36","Porsche Carrera GT","for sale","Craigslist Phoenix"
"36","Scottsdale , Arizona","’ s","DDW Partners"
"36","DDW Partners","inventory does include","1963 Beetle convertible"
"37","Motor Trend","losing","hosts"
"37","hosts","of","Ignition"
"37","hosts","of","Head to Head"
"37","Jason Cammisa","main","hosts"
"37","Jason Cammisa","starred","Jonny Lieberman"
"37","Jason Cammisa","replacement","former host"
"37","Carlos Lagos",",","former host"
"37","new host","of","Motor Trend"
"37","Jethro Bovington","will","new host"
"38","Mercedes","unveiled","Generation EQ concept"
"38","Mercedes","at","Paris Motor Show"
"38","Generation EQ concept","unveiled","Paris Motor Show"
"38","EQ A concept","Teased","Paris"
"38","Mercedes","Teased","Paris"
"38","EQ A concept","similar","Generation EQ concept"
"39","Frankfurt Auto Show","reveal","Mercedes-AMG Project One"
"39","Mercedes-AMG Project One",",","F1-powered hypercar"
"39","Japan","’","Aspark"
"39","Aspark","reveal","Owl"
"39","Dodge Challenger SRT","holds","fastest production car record"
"39","Owl","wears","full-carbon body"
"39","Owl","wears","magnesium wheels"
"40","Bentley Continental GT Rally Edition","a","project"
"40","project","for","Supercar Megabuild"
"40","Bentley Continental GT Rally Edition","wasn ’ t built","Bentley"
"40","Bentley Continental GT Rally Edition","for","sale"
"40","sale","on","eBay"
"40","Continental GT","retains","blue leather interior"
"40","blue leather interior","with","memory seats"
"40","Continental GT","retains","dual-zone automatic climate control"
"40","Continental GT","retains","satellite NAV system"
"41","Sayer",",","AI-controlled steering wheel"
"41","AI-controlled steering wheel","feature in","Future-Type"
"41","Future-Type","concept","Jaguar"
"41","Future-Type","shown off","Tech Fest"
"41","Tech Fest","in","London"
"41","Sayer","is","voice-activated wheel"
"42","crowdfunded effort","send","two Dodge Viper ACRs"
"42","two Dodge Viper ACRs","to","Nurburgring"
"42","two Dodge Viper ACRs","set","7 : 03.45"
"42","high speed tire failure","on","final straight"
"42","lap","set","failed"
"42","failed","because","high speed tire failure"
"43","G-Class","since","1979"
"43","Mercedes-AMG","new","G63"
"43","Mercedes-AMG","new","G65 Exclusive Edition"
"43","G63","considered","top-of-the-line G-Class"
"43","G65 Exclusive Edition","considered","top-of-the-line G-Class"
"43","exterior","is","grey magno finish"
"43","G63","comes","5-twin-spoke alloy wheels"
"43","G65","features","ceramically polished light-alloys"
"44","Henrik Fisker","chosen","2018 Consumer Electronics Show"
"44","Fisker EMotion","Set to directly rival","Tesla Model 3"
"44","Fisker EMotion","Set to directly rival","Faraday Future FF 91"
"44","Fisker , Inc","will also reveal","new EV technologies"
"44","Fisker , Inc","will also reveal","energy-dense battery pack"
"44","energy-dense battery pack","charge","Fisker EMotion"
"44","LIDAR technology","will handle the car ’ s","level 4 autonomous system"
"44","Fisker EMotion","too expensive to compete against","Model 3"
"45","177-page BMW document","obtained by","supramkv.com"
"45","Toyota Supra","getting a pair of","BMW engine options"
"45","X2","derived from","X1"
"45","X2","given more aggressive styling reminiscent of","X2 Concept"
"45","X2 Concept","at","2016 Paris Auto Show"
"45","front-drive platform","will house","X2 sDrive 28i"
"45","front-drive platform","will house","all-wheel drive xDrive version"
"45","all-wheel drive xDrive version","of","X2 sDrive 28i"
"45","X2 sDrive 28i","powered by","turbocharged 2.0-liter inline-four"
"45","turbocharged 2.0-liter inline-four","producing","228 horsepower"
"46","2006 Subaru WRX Limited","used as","stunt car"
"46","stunt car","in","Baby Driver"
"46","2006 Subaru WRX Limited","for sale on","eBay"
"46","2006 Subaru WRX Limited","has","158,000 miles on its clock"
"46","2006 Subaru WRX Limited","has","a five-speed manual"
"47","Nissan","announce","Midnight Edition package"
"47","Midnight Edition package","extended to include","Titan"
"47","Midnight Edition package","extended to include","Titan XD"
"47","Midnight Edition package","extended to include","Frontier"
"47","Altima","got the treatment at","2017 Chicago Auto Show"
"47","Murano","got the treatment at","2017 Chicago Auto Show"
"47","Pathfinder","got the treatment at","2017 Chicago Auto Show"
"47","Rogue","got the treatment at","2017 Chicago Auto Show"
"47","Sentra","got the treatment at","2017 Chicago Auto Show"
"47","Billy Hayes","of","Nissan North America"
"48","I-Pace","debuted at","LA Auto Show"
"48","Good design","featured on","I-Pace"
"48","clever engineering","featured on","I-Pace"
"48","Volkswagen AG","enlisting","Four Rings wing"
"48","Four Rings wing","to develop","electric SUV"
"48","Audi","’ s","e-tron-badged SUV"
"49","Fiat Chrysler Automobiles","(","FCA"
"49","Great Wall Motor Co","interested in buying","Jeep"
"49","Great Wall Motor Co","doesn ’ t appear to be , for now at least , interested in","Fiat"
"49","Great Wall Motor Co","doesn ’ t appear to be , for now at least , interested in","Chrysler Dodge"
"49","Great Wall Motor Co","doesn ’ t appear to be , for now at least , interested in","Ram"
"49","Great Wall President Wang Fengying","emailed","Auto News"
"50","Sasha Baron Cohen","’ s","The Dictator"
"50","Dartz owner and founder",",","Leonard Yankelovich"
"50","Mercedes-AMG GLS 63-based SUV","at","Gumball 3000 rally"
"50","Prombron Black Alligator","will be seen in","25th James Bond film"
"51","authentic recreations of iconic cars","like","Jaguar XKSS"
"51","authentic recreations of iconic cars","like","Aston Martin DB4 GT"
"51","Original Venice Crew","consists of","Peter Brock"
"51","Original Venice Crew","consists of","Jim Marietta"
"51","Original Venice Crew","consists of","Ted Sutton"
"51","Jim Marietta",",","CEO of the Original Venice Crew company"
"51","1965 Mustang donor car","packing","4.7-liter V8 engine"
"51","1965 Mustang donor car","packing","4.7-liter V8 engine"
"52","Volkswagen","all-new","Atlas"
"52","Volkswagen","redesigned","Tiguan"
"52","Touareg","not","return"
"52","Touareg","launched","US"
"52","Touareg","had","four-wheel-drive"
"52","Touareg","had","Interior cargo space"
"52","Touareg","price tag","50,000"
"53","Paul Buddin",",","Chief Financial Officer"
"53","Chief Financial Officer",",","McLaren"
"53","McLaren","new","Sheffield plant"
"53","Sheffield plant","have","10,000 carbon fiber monocoque chassis"
"53","Mike Flewitt",",","CEO"
"53","CEO",",","McLaren"
"54","DB11 Volante","powered by","5.2-liter twin-turbo V12"
"54","5.2-liter twin-turbo V12","generating","600 hp"
"54","5.2-liter twin-turbo V12","generating","516 lb-ft of torque"
"54","DB11",",","V8-powered"
"54","V8-powered","serving","503 hp"
"54","V8-powered","serving","513 lb-ft of torque"
"55","Jay Leno","’","Ford GT"
"55","Lamborghini Aventador","with","matte black"
"55","Lamborghini Aventador","with","orange trim"
"55","driver","of","Lamborghini Aventador"
"55","Lamborghini Aventador","overtake","Perodua Myvi"
"55","Perodua Myvi","native","Daihatsu Boon"
"55","Aventador driver","clipped","Proton Persona"
"56","XE SV Project 8",",","Jaguar"
"56","Jaguar","the","legendary XJ220"
"56","Jaguar","reveal","C-X75"
"56","C-X75","rival","McLaren P1"
"56","C-X75","rival","LaFerrari"
"56","C-X75","rival","Porsche 918 Spyder"
"56","C-X75","starred","Spectre"
"56","Spectre","the","James Bond film"
"57","F-150 Raptor","is","tough off-roader"
"57","woman","lost control","their Raptor"
"57","their Raptor","rolled","hill"
"57","their Raptor","smashed","wooden fence"
"57","Gabriel Mejia","witnessed","accident"
"57","Mejia","saved","woman"
"58","Tickford","work on","Ford RS200"
"58","Tickford","work on","Sierra RS500"
"58","Tickford","revealed","limited-edition Mustang"
"58","Tickford Bathurst ’ 77 Special","celebrates","40th anniversary"
"58","Allan Moffat","’ s","one-two win at Bathurst"
"58","Colin Bond","’ s","one-two win at Bathurst"
"58","upgrade package","includes","racing livery worn by the Falcon XC used in the 1977 race"
"58","upgrade package","includes","a set of distinctive 20-inch wheels"
"58","upgrade package","includes","high-performance supercharger"
"59","Ferrari","previously banned","Chris Harris"
"59","automotive journalists",",","Chris Harris"
"59","FXX K","more rare than","LaFerrari Aperta"
"60","Ferrari","’ s","1-2-3 finish at the 1967 24 Hours of Daytona"
"60","London-based dealer Hexagon Classics","is selling","Ferrari Daytona"
"60","Ferrari 365 GTB/4","converted into","Group 4 competition car"
"60","Ferrari 365 GTB/4","boasts","aluminium hood"
"60","Ferrari 365 GTB/4","boasts","trunk lid"
"60","Ferrari 365 GTB/4","boasts","increased flares around the wheel arches"
"60","4.4-liter Colombo V12","cranked up to produce","450 hp"
"60","Paul Michaels",",","chairman of Hexagon Classics"
"61","BMW","unveiling","original X4 SUV"
"61","X-Tomi Design","has taken a crack at rendering","X4"
"61","X4","using styling cues from","X3"
"61","M Division","mingling with","SUVs"
"61","M Division","mingling with","BMW 's cars"
"62","C5 Chevrolet Corvette","rolled off the production line at","Bowling Green , Kentucky production plant"
"62","C5 Chevrolet Corvette","was the last Corvette to feature","pop-up headlights"
"62","pop-up headlights","started with","C2"
"62","C5 Chevrolet Corvette","Dubbed","The Last C5"
"62","C5 Chevrolet Corvette","on loan to","National Corvette Museum"
"62","C5 Chevrolet Corvette","for sale on","Buyavette.net"
"62","Preferred Equipment Group/Commemorative Edition package","features","polished wheels"
"62","Preferred Equipment Group/Commemorative Edition package","features","head up display"
"62","Preferred Equipment Group/Commemorative Edition package","features","memory package"
"62","Preferred Equipment Group/Commemorative Edition package","features","auto-dimming rearview mirror"
"63","modern cars that have engines of mammoth proportions","include","8.0-liter Bugatti Chiron"
"63","modern cars that have engines of mammoth proportions","include","7.0-liter Aston Martin Vulcan"
"63","modern cars that have engines of mammoth proportions","include","8.4-liter Dodge Viper"
"63","Lincoln Continental","had","7.5-liter V8"
"63","7.5-liter V8","produced","224 horsepower"
"63","2017 Lincoln Continental","comes with","3.7-liter V6"
"63","2017 Lincoln Continental","comes with","twin-turbo 2.7-liter V6"
"63","2017 Lincoln Continental","comes with","twin-turbo 3.0-liter V6"
"64","Moller International","’ s","M400 Skycar"
"64","M400 Skycar","demonstrated back in","2001"
"64","M400 Skycar","superseded by","hybrid Skycar 400"
"64","eight Rotapower engines","producing","combined 700 horsepower"
"65","Fiat 500","celebrated","60th birthday"
"65","1968 Fiat 500 F Berlina","added to","New York Museum of Modern Art"
"65","Olivier Francois",",","Head of Fiat Brand and Chief Marketing Officer FCA"
"65","Fiat 500","acquired by","MoMA"
"65","18-horsepower","produced by","500 cc engine"
"66","Bugatti","with a glorious gathering of","Veyrons"
"66","Bugatti","with a glorious gathering of","Chirons"
"66","Porsche","revealed","911 GT2 RS"
"66","Jaguar XE SV Project 8","won","Michelin Supercar Paddock Showstopper Trophy"
"66","Jaguar XE SV Project 8","faced stiff competition from","Aston Martin AMR Pro"
"66","Jaguar XE SV Project 8","faced stiff competition from","McLaren 570S"
"66","Jaguar XE SV Project 8","faced stiff competition from","Koenigsegg Agera RS"
"66","Showstopper final","judged by","former BTCC Champion Tim Harvey"
"66","Showstopper final","judged by","automotive journalist Jon Quirk"
"66","Showstopper final","judged by","drifter Vaughn Gittin Jr"
"67","Lotus","latest","Elise 250"
"67","Lotus","latest","Evora 400"
"67","Evora 400","based on","Exige Sport 350"
"67","Elise 250","based on","Exige Sport 350"
"67","Lotus","revealed","Geneva"
"67","Lotus","Special Edition","Exige 350"
"67","Hethel",",","Norfolk"
"67","Norfolk",",","England"
"67","Jean-Marc Gales",",","Lotus Group CEO"
"68","The Grand Tour",",","Jeremy Clarkson"
"68","The Grand Tour",",","Richard Hammond"
"68","The Grand Tour",",","James May"
"68","The Grand Tour","debuted","full trailer"
"68","full trailer","for","car show"
"68","full trailer","thanks to","Amazon"
"69","Pure McLaren Arctic Experience","a","travel package"
"69","Participants","travel","Ivalo"
"69","Participants","travel","Pure McLaren Arctic Experience"
"69","Participants","taken","J á vri Lodge"
"69","J á vri Lodge","previous","home"
"69","home","of","Finland"
"69","Finland","longest-serving","president"
"69","participants","use","570S"
"70","Genovation","turned","C6-generation Corvette"
"70","C6-generation Corvette","turned","fastest electric car"
"70","C6-generation Corvette","registered","205.6 mph"
"70","205.6 mph","on","Kennedy Space Center"
"70","NASA","'s","Kennedy Space Center"
"70","Kennedy Space Center","in","Florida"
"70","Model S","is","155 mph"
"70","Corvette GXE","has","44 kWh battery"
"70","Model S","a","100 kWh battery"
"71","Bugatti Chiron","make","2.0 second 0-60 mph run"
"71","rally cross supercars","With","AWD"
"71","rally cross supercars","With","lightning-quick transmissions"
"71","rally cross supercars","With","power-to-weight ratios"
"72","Johan van Zyl",",","CEO"
"72","Johan van Zyl",",","Europe president"
"72","Toyota",",","Europe president"
"72","Toyota",",","CEO"
"72","Lexus","have","sporting models"
"72","sporting models","with","hybrid powertrains"
"73","NHTSA","issued","recall"
"73","recall","for","X3 xDrive28i"
"73","recall","states","electronic power steering"
"73","electronic power steering","(","EPS"
"73","BMW","rectify","recall"
"73","BMW","rectify","no cost"
"74","RS","is to","Audi"
"74","AMG","is to","Mercedes"
"74","M","is to","BMW"
"74","BMW","expanding","performance portfolios"
"74","Mercedes","expanding","performance portfolios"
"74","Audi","has lagged behind in offering","RS cars"
"74","The first RS5","had","naturally aspirated 4.2-liter V8"
"74","RS5","uses","2.9-liter twin-turbo V6"
"74","US","never got","RS4 Avant"
"75","Lamborghini Centenario","delivered to","US"
"75","Pagani Huayra BC","is now part of","prestigious car collection in Miami"
"75","Kris Singh","took delivery of","Pagani Huayra BC"
"75","Pagani Huayra BC","will be joining","Huayra La Monza Lisa"
"75","Pagani Huayra BC","will be joining","Koenigsegg Agera XS"
"75","Pagani Huayra BC","will be joining","Lamborghini Veneno"
"75","Pagani Huayra BC","Dubbed","BC Macchina Volante"
"75","BC Macchina Volante","debuting at","Geneva Auto Show"
"75","Macchina Volante","named in tribute to","Leonardo da Vinci"
"76","BMW M","’ s","1 Series M Coupe"
"76","BMW M","’ s","M2"
"76","1 Series M Coupe","Launched","2011"
"76","Chris Harris","proud owner of","black 1 Series M Coupe"
"77","Dodge","released full pricing details for","2018 Challenger SRT Demon"
"77","2018 Challenger SRT Demon","Powered by","supercharged 6.2-liter Hemi V8"
"77","2018 Challenger SRT Demon","’ s","840 hp"
"77","2018 Challenger SRT Demon","’ s","770 lb-ft of torque"
"77","Demon Crate option","includes","software to run high-octane racing gas"
"77","Demon Crate option","includes","pair of narrow front drag wheels"
"77","Demon Crate option","includes","conical performance air filter"
"77","Demon Crate option","includes","two valve stems"
"77","Demon Crate option","includes","passenger mirror block-off plate"
"77","Demon Crate option","includes","Demon-branded tools"
"78","Lamborghini Urus SUV","make a killing for","automaker"
"78","Lamborghini","will be expanding","Sant'Agata Bolognese facility"
"78","Bentayga","did for","Bentley"
"79","2018 Fiat 500L","features","40 percent new components"
"79","2018 Fiat 500L","features","aggressive styling"
"79","2018 Fiat 500L","features","off-road " trim"
"79","2018 Fiat 500L","features","Cross"
"79","2018 Fiat 500L","features","optional seven-seat versions"
"79","optional seven-seat versions","called","Wagon"
"79","optional seven-seat versions","called","Urban"
"80","Audi","bearing","TT Quattro Sport Concept"
"80","TT Quattro Sport Concept","It ’ s","engine"
"80","engine","size","2.0 liters"
"80","engine","size","four cylinders"
"81","Spyker","revealed","C8 Preliator"
"81","Spyker","at","Geneva"
"81","C8 Preliator","the","Geneva"
"81","Spyker","the","Dutch brand"
"81","Victor Muller",",","CEO"
"81","Victor Muller",",","founder"
"81","Spyker",",","founder"
"81","Spyker",",","CEO"
"82","owner","of","Huracan"
"82","police","at","Normanby Hotel"
"82","Normanby Hotel","in","Brisbane"
"82","Brisbane",",","Australia"
"82","Mark Trueno","was","fined"
"82","fined","for","unnecessary noise"
"82","Huracan","is","naturally loud"
"82","Brisbane Magistrate","sided with","Mark Trueno"
"83","Chrysler","partnership","Daimler-Benz"
"83","Charger","based on","Mercedes E-Class"
"83","Challenger","based on","Mercedes E-Class"
"83","partnership","be","Charger"
"83","partnership","be","Challenger"
"83","Chrysler Crossfire","was","two-seater"
"83","Chrysler Crossfire","was","RWD sports car"
"83","partnership","be","Chrysler Crossfire"
"84","Carfection","hands on","M-badged cars"
"84","BMW","'s","M2"
"84","M2","brings","turbocharged 3.0-liter"
"84","turbocharged 3.0-liter","with","365 hp"
"84","turbocharged 3.0-liter","with","343 lb-ft"
"84","M4","stats","425 hp"
"84","M4","stats","410 lb-ft"
"85","Ginetta",",","British sports car maker"
"85","Ginetta","bid","Silverstone rights"
"85","Jonathan Palmer","(","former Formula 1 driver"
"85","Jonathan Palmer","and","father"
"85","father","of","Jolyon Palmer"
"85","Jolyon Palmer","current","Renault F1 pilot"
"85","MotorSport Vision","(","MSV"
"85","Jonathan Palmer","bid","Silverstone rights"
"86","Blu Cepheus","looks absolutely sublime on","Huracan"
"86","Renato ” carbon-fiber aerodynamics package","adds","new front spoiler"
"86","Renato ” carbon-fiber aerodynamics package","adds","side skirts"
"86","Renato ” carbon-fiber aerodynamics package","adds","rear diffuser"
"86","Renato ” carbon-fiber aerodynamics package","adds","contoured rear wing"
"86","Huracan Performante","unveiled","Geneva Motor Show"
"86","Huracan Performante","set","Nurburgring lap record"
"86","Huracan Performante","’ s","5.2-liter V10"
"86","5.2-liter V10","boosted by","30 hp"
"86","5.2-liter V10","boosted by","35 lb-ft of torque"
"87","Jalopnik","reported on","Porsche Cayman GT4"
"87","Porsche Cayman GT4","donated by","Lind Trust"
"87","Lind Trust",",","charity that aims to promote youth development in Norwich and Norfolk in the UK"
"87","naturally aspirated 3.8-liter flat-six","with","385 hp"
"87","naturally aspirated 3.8-liter flat-six","with","309 lb-ft of torque"
"88","BMW","'s","quad-turbo unit"
"88","Mercedes","offers","2.1-liter diesel engine"
"88","EPA","has not approved","Mercedes diesel engines"
"88","Diesels","under extreme scrutiny ever since","Volkswagen Dieselgate debacle"
"88","Dietmar Exler",",","president and CEO of Mercedes-Benz USA"
"89","Apple","’ s","autonomous car project"
"89","Google","’ s","Waymo"
"89","California ’ s Department of Motor Vehicles","granted","Apple"
