index,s1,r,s2
72,extradition,in,justice minister
73,100 million tons,of,steel
74,negotiations,supplied,Canada
78,15 minutes,via,Golden Gate Bridge
78,15 minutes,via,San Francisco
78,Golden Gate Bridge,with,North Bay area
82,Tax Court,earned,Tax Court regular jobs
82,Rubins,earned,Tax Court regular jobs
83,Direct Selling Association,include,tax
83,Direct Selling Association,include,compliance material
83,Direct Selling Association,with,tax
83,Direct Selling Association,with,compliance material
83,Direct Selling Association,distribute,compliance material
83,trade group,include,service television program
83,trade group,with,service television program
83,members,include,service television program
83,members,with,service television program
83,members,distribute,service television program
85,nine months,assessed,workers
85,nine months,in,workers
85,June,assessed,workers
85,June,in,workers
85,assistant commissioner,for,employment taxes
85,assistant commissioner,for,workers
85,assistant commissioner,assessed,employment taxes
85,assistant commissioner,assessed,workers
85,assistant commissioner,in,employment taxes
85,assistant commissioner,in,workers
86,others,qualify for,unemployment compensation
86,unemployment compensation,in,Florida
86,unemployment compensation,in,Orlando
86,unemployment compensation,from,Orlando
86,Jerry Lackey,in,Florida
86,Jerry Lackey,in,Orlando
86,Jerry Lackey,from,Orlando
86,nine agents,in,Florida
86,nine agents,in,Orlando
86,nine agents,from,Orlando
95,power plants,in,500 megawatts
95,500 megawatts,of,power
95,500 megawatts,at,cost
96,executive officer,increased,plastics
96,John Hoyt Stookey,increased,plastics
101,commuters,find,Bay area 's quake
101,commuters,find,transportation system
101,commuters,find,subways
101,commuters,through,Bay area 's quake
101,commuters,through,transportation system
101,commuters,through,subways
101,commuters,through,traffic jams
101,commuters,wedged,jowl
101,commuters,wedged,subways
101,commuters,wedged,traffic jams
102,Bay Bridge,closed,ramps
102,Bay Bridge,closed,artery
104,wind,materialized,Bay Area Rapid Transit subway system
104,gridlock,materialized,Bay Area Rapid Transit subway system
105,UAL,in,New York Stock Exchange
105,volume,of,New York Stock Exchange
105,volume,in,New York Stock Exchange
105,volume,on,New York Stock Exchange
105,million shares,in,New York Stock Exchange
105,million shares,on,New York Stock Exchange
106,cost concessions,for,75 % stake
107,UAL management,was,British Air
107,UAL management,pay,British Air
107,UAL management,for,British Air
107,British Air,was,15 % stake
107,British Air,receive,15 % stake
110,debt,converted,Automatic Data
110,Automatic Data,issue about,million shares
110,Automatic Data,issue about,Automatic Data
110,Automatic Data,had,73 million shares
111,Automatic Data,redeeming,bonds
111,Automatic Data,redeeming,interest
111,Automatic Data,redeeming,spokesman
111,Automatic Data,after,interest
111,Automatic Data,of,interest
111,Automatic Data,of,bonds
111,Automatic Data,of,dividend yield
111,Automatic Data,of,spokesman
111,Automatic Data,on,bonds
111,Automatic Data,on,spokesman
112,Dow Jones,extended,5 p.m. EST
112,tender offer,own until,5 p.m. EST
114,Dow Jones,extended,Dow Jones tender offer
114,Dow Jones,extended,Dow Jones
114,Dow Jones tender offer,mailed,Friday
115,case,slid,Big Board trading
115,case,in,Big Board trading
115,meeting,slid,Big Board trading
115,Quantum 's shares,slid,Big Board trading
115,Quantum 's shares,in,Big Board trading
120,trade,of,Fulbright
120,issues,of,Fulbright
120,conduct seminars,on,Fulbright
120,conduct seminars,on,Jaworski
120,conduct seminars,of,Fulbright
120,conduct seminars,of,Jaworski
120,conduct seminars,said,Fulbright
120,conduct seminars,said,Jaworski
120,interest,of,Fulbright
120,Gibson Gayle,of,Fulbright
122,eight months,in,trade barriers
122,ties,in,trade barriers
122,ties,in,Francis M. Saville
122,ties,between,Francis M. Saville
122,trade barriers,between,Francis M. Saville
123,Shere,draw on,Random House
123,Shere,teeming with,specialties
123,Shere,teeming with,kiwi sherbet
123,Random House,teeming with,kiwi sherbet
123,four years,teeming with,kiwi sherbet
125,Shere,kept,one copy
125,one copy,of,notes
125,one copy,of,California pastry chefs
125,one copy,received,group
125,one copy,received,California pastry chefs
125,one copy,from,California pastry chefs
126,Food manufacturer changes,ketchup,people
126,catsup,ketchup,people
127,polyethylene,of,commodity plastics
129,discrepancy,of,Quantum ethylene needs
129,Quantum,of,Quantum ethylene needs
131,Slick graphics,tested for,effectiveness
131,Slick graphics,tested for,Litigation Sciences ' operation
131,Slick graphics,play,Litigation Sciences ' operation
131,Slick graphics,in,Litigation Sciences ' operation
133,Stephen Gillers,expert at,New York University law school
133,ethics,expert at,New York University law school
135,attorneys,offer,one lawyer
135,attorneys,of,one lawyer
135,jobs,of,one lawyer
135,one lawyer,paid,interview
135,one lawyer,paid,interviews
135,one lawyer,paid,American Lawyer magazine
135,one lawyer,at,interview
135,one lawyer,at,American Lawyer magazine
135,one lawyer,with,American Lawyer magazine
135,one lawyer,in,American Lawyer magazine
140,Export,guarantee,Avianca
140,Export,financing for,purchase
140,Export,financing for,two Boeing
140,Export,financing for,767 airliners
140,Export,financing for,Avianca
140,Export,of,Avianca
140,Import Bank,guarantee,Avianca
140,Import Bank,financing for,purchase
140,Import Bank,financing for,Avianca
140,bank,financing for,Avianca
141,Mexico,exported,crude oil
141,barrels,of,crude oil
141,barrels,of,total
141,barrels,of,Petroleos Mexicanos
141,barrels,at,average
141,barrels,at,total
141,barrels,at,Petroleos Mexicanos
141,barrels,during,total
141,barrels,during,Petroleos Mexicanos
141,barrels,for,Petroleos Mexicanos
142,New orders,for,goods
142,New orders,for,September
142,New orders,for,auto demand
142,New orders,fell,September
142,New orders,fell,auto demand
142,New orders,in,September
142,New orders,in,auto demand
142,New orders,in,spurt
142,New orders,reflecting weakening,auto demand
142,goods,in,1990 models
143,Sally Kleinman,at,New York
143,Sally Kleinman,in,New York
144,Orders,catapult in,government officials
144,goods,catapult in,September
144,goods,catapult in,government officials
144,goods,catapult in,Pentagon scrambles
144,goods,catapult in,Pentagon money
146,president,of,Calgary
146,president,linked,Calgary
146,president,made by,Calgary
148,TransCanada,from,Alberta
149,vice president,of,Calgary
150,regard,looting,Crete
150,Greece,looting,Crete
150,bubbling bank,looting,Papandreou
150,bubbling bank,looting,George Koskotas
150,bubbling bank,looting,owner
150,bubbling bank,looting,Crete
150,bubbling bank,looting,embezzler
150,bubbling bank,looting,jail cell
150,bubbling bank,of,Crete
150,accuser,of,Crete
151,Bank,deposit,Crete
151,Crete funds,ordered,state agencies
151,Crete funds,ordered,Crete
151,Crete funds,deposit,Crete
151,Crete funds,deposit,interest
151,bribes,deposit,Crete
151,bribes,deposit,interest
151,minister,deposit,Crete
151,state agencies,deposit,Crete
151,Crete,skim,interest
153,correspondent,for,National Review
154,appeals court,in,San Francisco
157,charge,approved,Public Utilities
157,settlement,approved,Public Utilities
158,settlement,for,future charges
158,rate increases,for,future charges
158,rate increases,for,Pilgrim Nuclear Power Station
158,rate increases,of,Pilgrim Nuclear Power Station
158,future charges,for,Pilgrim Nuclear Power Station
158,future charges,of,Pilgrim Nuclear Power Station
158,operation,of,Pilgrim Nuclear Power Station
164,Harvey D. Myerson,of,Underberg
164,Myerson,of,Finley
164,Myerson,of,Underberg
164,Kuhn,of,Finley
164,Kuhn,of,Underberg
164,Kuhn,was,trial lawyer
164,Finley,was,trial lawyer
164,Finley,was,application appeal
164,Heine,was,trial lawyer
164,Heine,was,application appeal
