index,s1,r,s2
63,division,develops,division
64,Schmedel,is,editor
65,market test,in,Denver
66,P & amp ; G and,hook,hook consumers
66,consumers,on,detergent
67,Cheer,is,unique formula
68,Hugh Zurkuhlen,an,analyst
68,analyst,at,Salomon Bros
70,accord,concerning,military bases
70,military bases,in,Greece
71,extradition,of,Mohammed Rashid
71,Mohammed Rashid,a,Palestinian terrorist
72,Greek courts,decided,favor
72,favor,in,Rashid case
73,steelmakers,supplied,steel
73,million tons,of,steel
74,negotiations,Of,20
74,negotiations,allocate,foreign suppliers
75,Other countries,do n't have formal,steel quotas
76,countries,made,informal agreements
79,traffic,over,Golden Gate
80,Charles Catania,an,insurance broker
80,insurance broker,on,bus
80,bus,from,Mill Valley
82,Rubins,in,jobs
83,Direct Selling Association,a,trade group
83,members,include,Amway
85,fiscal,ended,June 30
87,Retailers,in,Phoenix
88,A P & amp ; G spokeswoman,confirmed,shipments
88,shipments,to,late
89,company,introduced,superconcentrated Lemon Cheer
89,Lemon Cheer,in,Japan
90,Attack,hit,shelves
90,shelves,in,1987
91,International Business Machines,went,marketing professor
93,Vinson,got,law bug
94,IBM,won,case
95,Enron,building,power plants
95,plants,in,500 megawatts of power
98,venture,with,investment banker
99,Petrolane,is,propane distributor
100,Suburban Propane,owned by,Quantum
101,commuters,way,transportation system
102,massive temblor,killed,61 people
102,temblor,killed,Bay Bridge
102,Bay Bridge,severed,Bay Bridge
103,several weeks,take,bridge
104,Bay Area Rapid Transit subway system,carried,50 % more passengers
105,UAL,fell,a share
106,original,approved by,UAL board
106,pilots,put up,200 million
107,UAL management,to pay,15 million
107,15 million,for,10
109,UAL stock,fallen,33
110,debt,converted,common
110,company,had,73 million shares outstanding
111,Automatic Data,redeeming,bonds
111,cost,of,interest
112,Dow Jones & amp,extended,tender offer
112,tender offer,of,18 a share
113,two independent directors,rejected,inadequate
114,Dow Jones,extended,offer
114,review,to,supplement
116,Quantum,confronts,disaster
116,disaster,at,plant
116,plant,in,"Morris , Ill"
117,prolonged production halt,at,plant
117,halt,introduce,future
118,plant,calculating,lost profit
119,Fulbright & amp ; Jaworski,of,Houston
122,arrangement,reached,negotiations
123,Shere,draw,cookbook
123,cookbook,published by,Random House
125,one copy,of,notes
125,notes,received,moral support
126,Food manufacturer,changes spelling,of
127,price of polyethylene,of,commodity plastics
128,price,of,ethylene
129,plants,cover,ethylene needs
130,China,putting in,huge orders
130,huge orders,for,polyethylene
131,Slick graphics,for,effectiveness
131,effectiveness,play,Litigation Sciences
132,LSI,specialist,graphics
133,Stephen Gillers,a,legal ethics expert
133,legal ethics expert,at,New York University law school
134,Litigation Sciences,was,flatout wrong
135,few attorneys,offer,consultant
136,period,included,gain
136,gain,was,77 million
137,1988 period,restated,net income
137,net income,of,8 million
138,Shearson,had,net income
138,net income,of,55 million
139,Shearson shares,trading,cents
140,Bank,decided,commercial bank financing
140,commercial bank financing,for,purchase
140,bank financing,for,Boeing Co. 767 airliners
140,purchase,of,Avianca
141,Mexico,exported,barrels
141,barrels,of,a day
142,New orders,for,durable goods
143,economist,at,Manufacturers Hanover Securities
143,Manufacturers Hanover Securities,in,New York
144,Orders,for,military goods
146,executive officer,of,pipeline and
147,deregulation,of,market
147,market,in,1985
148,TransCanada,transports,all gas
149,vice president,of,Gas
149,Gas,a,gas marketing concern
150,Greece,fighting,scandal
150,George Koskotas,of,owner
151,Papandreou,received,23 million
151,23 million,of,Bank of Crete funds
152,PASOK members,implicated,Parliament
153,Carpenter,a,regional correspondent
153,regional correspondent,for,Review
154,federal appeals court,in,San Francisco
154,shareholders,hold,officials
155,1984 suit,stems from,1984
155,shareholders,of,Apple Computer
156,Boston Edison,will take,60 million charge
156,60 million charge,against,earnings
156,60 million,in,fourth quarter
157,charge,resulted from,settlement
158,settlement,limits,rate increases
158,rate increases,for,three years
158,future charges,to,Pilgrim Nuclear Power Station
159,Pilgrim,closed,32 months
160,pastry chef,of,Chez Panisse restaurant
161,jury,agreed,claims
162,jury,awarded,USFL
162,USFL,only,1
163,Court of Appeals,in,New York
164,Harvey D. Myerson,of,Myerson & amp ; Kuhn
164,Harvey D. Myerson,of,"Finley , Kumble , Wagner"
165,Douglas R. Pappas,of,Myerson & amp ; Kuhn
165,award,of,USFL
